A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S ,T,U,V,W,X,Y,Z
1000,18.0229239188561,12.0131625078754,18.5904322122101,5.05772417359806,6.92515518190387,8.73127385136255,11.2664043289461,10.9028328878397,4.34596462242999,5.35672512194098,7.02643410104174,13.9124068355739,15.7640602038785,6.8191897098216,9.3690892408288,4.47749198078442,9.79991470474398,6.30453351581785,21.1355306796989,20.3124227536036,21.0003093096226,7.66085539930779,16.12643567642,11.7789685987938,9.61602747357415
12.6569194674884,1000,3.67690212946788,16.9323098255489,10.4925583715479,7.79047832520121,10.7844620688365,7.44381439536811,11.7030980898414,10.6897082350998,9.03924757588845,9.74147391010054,8.72116806507031,7.14241259170408,13.8944928083339,14.8186121215568,12.6127489098667,14.6261756501119,12.2059802022943,5.02761945631388,7.85722619011822,12.3252951060797,15.6987286418163,8.74704150547332,7.19592065785005,10.6963792766872
11.8617019311001,11.3449908317444,1000,10.1820218164962,10.5605460234283,13.7273910810708,18.4729931511138,10.2169118314414,11.2452211228951,8.04261078223998,5.28168085941117,7.51163928732889,10.8698753602861,13.2972421213382,9.5148041609012,5.49883890862027,3.07597913332462,10.6962251819447,11.7101693936252,7.58994178647502,9.59475463481842,13.577654270305,3.18346578434788,6.08397206620176,6.92960452144792,7.53618355785763
11.2831610604973,7.64163702363146,19.9131705225302,1000,8.26823829083967,17.0637179942006,5.67224185066519,8.7327501184548,17.8636801799627,13.1773464841077,8.00744595173198,6.5618821704186,12.9624287599608,6.5551062034363,14.7813172121791,8.04395557276002,9.14272584713261,12.2943444314402,13.1276289228035,10.4123353273792,7.74141797654995,18.5149060534516,4.52314090128175,4.65000255906001,3.65438903497241,12.9048231158072
25.1938266983325,9.98693819905277,3.6499086888733,8.96159443953491,1000,8.78824355987269,5.84212487427762,15.3557969478427,10.7366681932846,8.42350253629591,7.46514836751841,6.41940216381953,15.8274026665973,7.5621907169829,8.36793925908448,21.0903512447786,16.1810109538067,7.02225771174791,8.47013377611125,7.68052638819955,9.59139271119913,5.84422848084134,9.87702094750289,13.7239577224121,7.56515688811535,11.5693433766752
20.4983025710096,5.52747243917763,17.2047427871636,19.5921223476249,8.19414713283895,1000,14.9992392637202,5.86595444681946,6.40483416930781,6.89221093400081,5.40292302781527,11.1167877339384,3.85725004548408,17.8539350089443,10.025354471804,15.7476316387211,10.84572543903,5.07897342354886,4.44680498621184,17.078481243145,4.38614850630727,4.54199808146004,10.4770795576916,6.89627929063411,9.09340527429535,13.154127687902
8.55645903485879,17.3071299815711,9.18690571386636,11.9725386962711,14.484018735529,5.78180843580741,1000,12.1006583851053,10.4695046392766,14.1953035820264,6.62053584979672,3.09911073462169,7.17341520395341,3.23794758451915,7.08419072466733,4.37456332704045,9.44373062556147,12.2189074233295,3.68254797770836,20.9403253891293,6.20590490378135,4.70448837216325,12.0517890056247,13.9902991612398,17.4233436106135,12.024556327658
8.15464817551483,4.17767141177975,5.41312552115778,9.22199808489193,3.5845718203866,6.26407731977144,6.98612159455193,1000,11.9909117544103,8.08042328702946,3.00639024430911,11.631046070613,5.634606624866,8.65171566747981,11.3013614424849,6.1627826964193,14.8157777393429,8.77432141110194,15.7485826783054,6.38673039410126,10.9581265626578,9.3157753270216,12.6704487205278,16.73748389705,20.6773802799799,7.20082844686103
11.8834040657055,13.6853653989416,7.2053775283957,2.80993311874861,12.2134545557256,13.1425480106873,10.2526895575692,12.8725620759525,1000,16.8140184603639,13.6317817579748,8.45020920889214,10.04433252198,5.36244958162721,16.7057559728813,9.24200174765286,5.65137927418598,24.6784801281255,10.3749391728127,19.0050322357765,3.17602886174028,12.7331839849439,13.4886745783472,12.8565629507878,9.33777551411201,7.38646712081746
7.92522991420871,10.1786246813702,11.3742591207222,7.00899662668434,11.1245348481868,7.38376895719838,6.5536476443239,5.13231955704066,7.27900319582915,1000,16.7152607956775,7.38872196849252,11.4750124334716,9.29509347807304,6.05669002849584,4.25789102832681,7.94439842614632,8.77828049086947,12.8189884593111,12.0616541036477,17.0966825439792,9.89053735497683,16.91452628835,9.20842204597557,3.58872818136947,10.8687617060239
